electricity,rpm,pressure_steam,vibration,status
178.2,440.64,90.93,44.54,Fail
188.91,431.61,99.42,45.03,Normal
188.68,441.41,115.36,43.76,Normal
179.04,377.92,110.33,38.23,Normal
132.75,531.26,106.19,55.16,Normal
178.59,507.17,99.91,49.27,Maintenance
180.9,452.72,101.46,46.35,Maintenance
180.15,459.06,90.7,30.0,Fail
164.13,426.13,95.26,37.42,Maintenance
156.76,387.82,77.93,41.32,Maintenance
153.24,368.69,96.14,44.58,Fail
174.59,457.31,88.82,38.06,Fail
168.16,496.51,105.85,45.51,Maintenance
182.02,479.38,84.08,44.01,Normal
169.58,469.31,99.49,36.5,Normal
155.98,517.5,81.3,37.89,Fail
173.56,380.78,107.55,36.55,Fail
173.02,446.26,100.12,38.65,Normal
149.66,383.61,95.64,37.92,Maintenance
198.63,539.79,91.23,43.78,Maintenance
169.14,508.02,107.74,41.0,Normal
178.67,307.22,109.1,36.99,Normal
193.25,484.74,99.73,43.83,Fail
171.63,467.33,110.85,34.62,Normal
156.29,452.92,88.6,32.19,Maintenance
150.97,484.24,110.64,58.89,Maintenance
140.39,402.43,105.26,31.32,Fail
176.93,432.4,107.56,34.62,Fail
172.76,456.42,95.51,37.5,Normal
143.12,447.27,92.44,38.88,Normal
191.1,432.45,87.28,37.33,Maintenance
181.42,369.31,106.12,40.42,Maintenance
188.47,462.54,97.34,41.12,Normal
165.82,439.81,105.46,45.98,Normal
179.71,455.76,88.19,38.23,Fail
177.83,395.07,89.98,31.51,Fail
181.28,478.54,115.93,41.35,Fail
166.93,537.07,110.97,41.76,Normal
150.32,414.05,111.4,37.29,Fail
172.37,429.51,99.83,41.0,Normal
167.35,482.73,103.8,30.23,Normal
173.0,438.48,90.52,33.83,Fail
152.82,450.27,102.71,37.41,Fail
171.29,482.76,115.99,38.6,Normal
196.31,456.98,91.37,36.52,Maintenance
167.26,359.84,85.31,37.92,Fail
161.9,498.47,111.21,34.28,Normal
186.94,469.02,98.79,44.39,Fail
188.92,397.76,103.1,35.24,Normal
166.12,570.21,110.01,40.13,Maintenance
197.33,452.19,99.68,37.67,Fail
171.28,345.44,91.43,31.47,Maintenance
176.46,404.04,87.43,44.8,Maintenance
163.65,450.71,94.06,47.94,Normal
189.94,466.97,113.79,39.08,Maintenance
174.76,407.42,108.06,48.19,Maintenance
186.28,565.02,86.86,35.81,Normal
190.07,437.62,106.88,37.23,Normal
166.17,404.24,87.66,44.57,Maintenance
137.64,413.93,102.68,40.11,Maintenance
182.79,510.95,107.39,38.56,Maintenance
154.22,374.54,100.91,39.7,Normal
153.23,341.94,101.35,40.07,Normal
181.3,411.54,93.65,29.93,Fail
152.13,449.43,95.66,45.95,Fail
182.92,460.89,93.81,39.83,Normal
172.43,392.41,110.83,42.71,Maintenance
202.31,520.99,105.44,42.21,Fail
172.53,456.16,105.76,34.63,Fail
164.22,383.41,104.24,40.46,Normal
199.25,422.83,102.77,57.64,Fail
177.48,412.82,106.31,33.73,Maintenance
149.5,449.77,98.15,43.55,Maintenance
198.6,523.84,112.31,41.15,Fail
188.29,452.54,100.35,45.67,Normal
170.46,522.83,82.39,36.99,Fail
157.52,415.07,87.13,39.16,Normal
165.34,474.06,116.67,41.88,Maintenance
186.18,491.52,91.57,38.96,Fail
141.33,376.95,109.57,48.22,Fail
208.7,436.96,98.35,37.21,Maintenance
160.08,521.63,101.59,44.38,Normal
193.71,540.92,91.88,46.53,Normal
187.23,475.65,103.39,45.06,Maintenance
174.38,317.3,101.53,40.63,Fail
177.08,392.97,101.98,31.64,Maintenance
162.63,468.04,106.72,43.15,Maintenance
178.04,418.41,94.6,37.34,Maintenance
169.43,480.13,113.01,45.48,Maintenance
170.8,471.05,87.7,46.59,Normal
163.88,499.36,109.86,48.61,Fail
156.34,470.39,97.85,41.64,Maintenance
173.41,460.04,70.47,47.64,Maintenance
171.71,299.35,95.12,46.11,Maintenance
145.94,327.64,113.11,36.56,Fail
183.91,390.52,99.11,58.37,Maintenance
152.4,520.49,111.29,44.02,Normal
202.1,370.89,83.3,37.75,Fail
193.0,405.28,98.11,41.37,Fail
179.98,439.97,104.81,45.64,Normal
200.51,426.51,73.34,41.65,Normal
169.34,336.91,112.98,40.46,Fail
158.89,501.96,71.0,37.99,Maintenance
135.6,471.47,93.55,38.04,Normal
186.09,404.16,103.33,30.4,Normal
167.99,387.04,98.74,28.21,Maintenance
143.01,414.22,114.7,52.48,Maintenance
152.76,532.84,116.85,43.49,Maintenance
156.53,581.84,95.67,22.67,Normal
153.49,530.41,95.13,46.71,Normal
172.88,368.55,101.9,37.96,Fail
167.46,401.45,99.89,44.98,Normal
147.7,445.52,98.1,38.93,Fail
163.94,391.11,95.62,36.71,Normal
165.75,457.28,108.01,46.98,Fail
146.92,539.67,94.14,39.84,Fail
170.75,452.4,92.7,44.78,Normal
175.29,429.58,102.37,35.13,Fail
172.23,419.21,106.03,44.89,Fail
163.24,381.97,94.92,31.85,Normal
184.56,389.19,97.18,33.59,Maintenance
155.02,526.17,126.04,31.85,Fail
145.49,313.55,103.56,35.69,Fail
148.74,443.71,105.24,40.35,Maintenance
155.04,500.73,86.22,48.28,Fail
189.54,447.28,108.25,40.12,Normal
182.65,468.0,110.31,33.87,Normal
150.85,501.11,90.91,47.86,Maintenance
154.17,446.45,109.19,35.48,Maintenance
170.29,532.12,86.46,47.32,Normal
155.84,417.13,110.65,48.22,Fail
171.77,442.27,110.68,42.8,Normal
171.5,505.93,107.85,48.09,Normal
155.2,458.8,84.89,47.1,Maintenance
145.79,410.24,93.97,35.18,Maintenance
167.43,443.08,96.97,51.11,Maintenance
154.08,389.83,114.82,39.1,Fail
183.49,385.78,101.07,45.8,Maintenance
183.39,338.84,112.56,45.57,Normal
143.17,466.57,101.42,44.98,Maintenance
193.43,447.82,85.55,39.02,Maintenance
150.56,431.94,105.77,36.19,Maintenance
159.41,453.97,90.77,37.4,Maintenance
144.11,434.25,117.84,40.17,Normal
168.28,396.3,102.01,33.92,Normal
165.83,433.24,103.46,40.12,Fail
181.52,530.8,102.11,37.91,Normal
183.51,449.48,114.09,34.08,Normal
161.15,445.92,119.47,54.32,Fail
177.13,480.48,102.56,45.11,Normal
171.99,502.9,96.97,35.85,Maintenance
173.58,423.4,105.14,45.62,Maintenance
179.81,490.01,99.15,46.73,Maintenance
145.38,420.39,135.75,46.19,Maintenance
159.38,489.34,110.37,46.41,Maintenance
183.49,413.89,98.94,37.36,Fail
190.98,410.13,85.47,37.67,Fail
174.47,455.38,96.23,37.74,Maintenance
174.01,478.59,88.39,46.47,Normal
160.25,420.59,97.12,41.87,Normal
152.22,516.46,118.68,40.26,Normal
171.03,465.23,99.87,43.72,Normal
162.52,443.72,100.85,34.96,Normal
180.54,371.6,107.55,41.47,Normal
174.43,416.33,103.04,47.34,Fail
174.94,356.62,94.06,39.79,Fail
224.1,453.6,95.45,48.24,Fail
168.89,494.88,101.91,34.57,Fail
177.59,475.53,131.48,49.05,Maintenance
163.87,419.79,86.72,42.19,Normal
192.94,370.33,93.74,39.17,Maintenance
165.71,452.39,96.18,26.63,Fail
177.78,437.47,94.83,35.32,Normal
154.67,524.16,109.31,29.95,Normal
168.96,454.95,95.82,57.33,Maintenance
157.4,392.88,84.16,33.17,Maintenance
185.12,489.5,115.22,43.71,Normal
167.09,426.65,96.78,33.76,Maintenance
167.71,430.43,99.12,35.82,Fail
163.49,429.34,83.53,37.89,Fail
174.55,459.07,90.59,36.57,Normal
146.29,482.01,104.31,48.72,Fail
163.28,357.31,117.98,48.12,Maintenance
157.14,479.42,116.12,34.36,Normal
134.44,433.59,109.23,34.44,Normal
196.81,424.0,109.43,40.24,Fail
182.87,417.51,93.53,55.31,Fail
178.23,487.01,106.91,39.66,Fail
173.72,481.78,105.3,38.15,Maintenance
